attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
adjacent,high,none,required,unchanged,high,low,none,0.0026,unproven,83,medium
local,low,none,none,unchanged,none,low,high,0.0213,functional,170,high
local,low,high,none,unchanged,high,high,none,0.1084,functional,414,medium
physical,low,none,none,unchanged,low,low,high,0.0481,poc,74,medium
adjacent,low,none,none,changed,low,none,low,0.0446,functional,616,medium
network,low,none,required,unchanged,high,low,high,0.255,unproven,93,high
local,low,high,none,changed,high,low,low,0.1452,poc,215,medium
local,low,none,none,unchanged,high,high,low,0.1513,poc,147,high
local,high,low,required,unchanged,high,low,low,0.1217,functional,195,medium
network,low,low,required,unchanged,high,low,high,0.0691,high,194,high
adjacent,low,high,none,unchanged,low,none,none,0.3382,poc,193,low
adjacent,low,low,none,unchanged,low,high,low,0.0356,unproven,79,medium
local,high,none,required,unchanged,high,none,high,0.0431,unproven,137,medium
network,high,low,none,unchanged,low,high,high,0.1513,poc,241,high
network,low,none,required,unchanged,high,none,high,0.2596,unproven,256,high
network,low,none,required,changed,none,low,none,0.2354,poc,160,medium
local,high,high,none,changed,high,high,none,0.0413,functional,85,high
network,low,low,required,unchanged,high,high,low,0.0998,poc,346,high
adjacent,low,low,none,unchanged,none,none,high,0.1311,unproven,229,medium
adjacent,low,none,required,changed,high,high,low,0.0498,unproven,299,high
network,low,low,none,changed,none,high,high,0.0434,functional,700,high
network,high,none,required,unchanged,high,low,high,0.131,unproven,258,medium
network,low,low,required,changed,low,low,none,0.0983,unproven,160,medium
network,low,none,none,unchanged,low,high,low,0.067,unproven,61,high
network,high,none,required,unchanged,low,high,none,0.2919,unproven,158,medium
network,low,none,required,unchanged,none,low,low,0.2722,poc,437,medium
network,high,low,required,unchanged,none,low,none,0.0581,high,182,low
adjacent,low,high,none,unchanged,high,none,high,0.1842,unproven,261,medium
network,high,high,required,unchanged,low,none,high,0.1115,unproven,722,medium
adjacent,low,low,required,changed,none,high,none,0.1569,unproven,52,medium
network,low,low,none,unchanged,high,low,low,0.2002,poc,130,high
adjacent,high,none,none,unchanged,high,low,none,0.2042,unproven,54,medium
local,low,low,required,unchanged,low,high,high,0.2528,unproven,263,medium
physical,low,low,none,unchanged,high,low,high,0.2756,unproven,35,medium
network,high,none,none,changed,high,high,high,0.1675,unproven,244,high
network,low,low,none,unchanged,low,high,low,0.2737,poc,418,high
local,high,none,required,unchanged,low,high,low,0.1657,unproven,35,medium
network,low,low,required,unchanged,low,high,none,0.0781,unproven,62,medium
local,high,none,required,unchanged,high,high,high,0.1824,poc,59,medium
network,low,low,none,unchanged,low,high,high,0.0874,unproven,222,high
network,low,high,required,unchanged,high,low,high,0.0161,poc,390,medium
adjacent,high,none,none,unchanged,low,none,high,0.0808,unproven,387,medium
local,low,none,none,unchanged,high,none,low,0.2103,unproven,96,medium
adjacent,low,low,required,unchanged,low,low,high,0.0574,unproven,204,medium
local,high,none,required,changed,low,low,low,0.077,unproven,217,medium
local,low,none,none,unchanged,high,none,low,0.2296,poc,25,medium
network,low,low,none,unchanged,low,low,high,0.0552,unproven,91,high
network,high,none,none,unchanged,low,low,high,0.0672,unproven,413,medium
adjacent,high,none,none,unchanged,low,none,none,0.0431,unproven,36,low
local,high,none,none,changed,low,none,high,0.1801,functional,88,medium
network,low,low,required,unchanged,low,none,high,0.0761,functional,704,medium
adjacent,low,none,none,changed,low,high,none,0.1561,poc,88,high
network,low,none,none,unchanged,none,high,none,0.0831,unproven,66,high
adjacent,low,none,none,changed,none,none,low,0.0662,unproven,91,medium
network,low,none,none,unchanged,none,none,high,0.2443,unproven,281,medium
network,low,high,none,unchanged,low,low,none,0.0558,high,121,low
local,low,none,required,unchanged,low,low,low,0.2547,poc,108,medium
network,low,low,none,unchanged,high,high,high,0.1982,unproven,75,high
local,low,low,none,unchanged,high,low,high,0.1219,unproven,156,high
adjacent,low,low,none,unchanged,high,low,high,0.0131,unproven,360,medium
network,low,high,none,unchanged,none,none,high,0.2484,unproven,45,medium
network,low,low,required,unchanged,low,low,none,0.0037,functional,55,medium
adjacent,low,low,required,changed,low,none,low,0.017,poc,135,low
network,high,none,required,unchanged,high,high,high,0.1725,unproven,125,high
adjacent,high,none,none,unchanged,low,low,high,0.189,poc,75,medium
adjacent,low,none,none,changed,low,none,high,0.2436,unproven,254,high
network,low,low,required,unchanged,high,none,high,0.2936,poc,171,medium
local,high,high,required,changed,low,low,high,0.0997,poc,239,medium
adjacent,high,none,none,changed,low,none,high,0.016,unproven,101,high
network,high,none,required,changed,high,none,high,0.0151,unproven,202,high
adjacent,low,low,required,changed,low,high,high,0.0411,unproven,118,high
adjacent,high,none,required,changed,low,high,high,0.0286,poc,338,high
network,low,low,none,unchanged,high,low,none,0.0617,poc,225,medium
network,low,none,required,unchanged,high,high,high,0.1043,poc,219,critical
adjacent,low,none,none,unchanged,high,low,none,0.1203,functional,94,medium
local,low,low,none,unchanged,low,high,none,0.083,functional,50,medium
network,low,high,none,changed,none,high,high,0.1136,unproven,379,high
network,high,high,none,unchanged,high,none,high,0.1411,unproven,152,medium
adjacent,low,low,none,unchanged,high,low,none,0.0398,high,100,medium
adjacent,high,low,required,changed,low,high,high,0.1451,unproven,367,high
network,low,low,none,unchanged,high,low,low,0.2345,unproven,255,high
network,low,none,none,unchanged,low,low,high,0.0207,poc,200,high
network,high,none,required,changed,low,high,high,0.0235,unproven,485,high
network,low,low,required,unchanged,low,none,none,0.1167,unproven,40,low
network,low,low,none,unchanged,high,none,low,0.2411,functional,137,medium
network,low,none,required,changed,high,none,high,0.0352,unproven,555,critical
network,low,none,none,changed,low,none,high,0.1166,unproven,111,high
network,low,low,none,unchanged,none,low,high,0.1939,unproven,222,medium
adjacent,low,none,required,unchanged,high,high,low,0.0291,functional,236,medium
adjacent,low,none,none,unchanged,low,high,high,0.0204,unproven,84,high
local,low,low,none,unchanged,low,high,none,0.1117,unproven,96,medium
network,low,none,none,unchanged,low,none,none,0.0832,unproven,480,medium
network,high,low,required,unchanged,none,low,low,0.04,high,239,low
network,low,high,none,changed,none,high,none,0.0397,functional,242,medium
network,low,none,none,unchanged,high,none,none,0.4054,unproven,66,high
network,high,low,required,unchanged,none,high,none,0.1192,functional,298,medium
physical,high,none,required,unchanged,none,low,none,0.1032,functional,132,low
adjacent,high,none,none,unchanged,low,low,low,0.3059,unproven,94,medium
network,high,low,none,changed,none,high,none,0.033,poc,252,medium
adjacent,low,low,none,unchanged,high,high,low,0.1515,poc,185,high
local,low,low,required,changed,low,low,high,0.0514,functional,101,medium
network,high,none,required,unchanged,high,high,low,0.0064,unproven,196,medium
physical,low,high,required,unchanged,none,none,high,0.0787,high,57,low
network,high,high,none,unchanged,none,none,low,0.0227,poc,121,low
network,low,none,required,changed,none,high,low,0.0418,poc,378,high
network,low,low,required,changed,high,low,high,0.2307,functional,425,critical
local,low,low,required,unchanged,high,low,low,0.3517,poc,367,medium
local,low,low,required,unchanged,low,low,high,0.0526,poc,35,high
network,low,low,required,unchanged,low,none,none,0.134,poc,133,low
local,low,none,required,unchanged,low,high,none,0.0758,poc,464,medium
network,high,none,required,unchanged,high,none,none,0.0559,unproven,43,medium
local,low,low,required,unchanged,high,low,none,0.0338,poc,403,medium
network,low,none,required,unchanged,low,high,high,0.012,unproven,302,high
network,low,none,none,unchanged,high,low,none,0.2293,unproven,194,high
network,low,none,none,unchanged,none,low,low,0.0711,unproven,299,medium
local,high,low,none,unchanged,high,low,none,0.1549,unproven,180,medium
local,high,none,none,changed,high,high,high,0.0848,poc,483,high
network,low,none,required,changed,low,low,low,0.0298,high,169,medium
network,low,high,none,unchanged,none,none,high,0.0556,unproven,162,medium
local,low,none,none,changed,low,low,low,0.0082,functional,93,medium
network,high,low,none,changed,high,high,low,0.1255,poc,53,high
network,low,high,required,unchanged,low,none,none,0.0378,unproven,357,low
adjacent,low,none,none,changed,low,low,high,0.0568,unproven,187,high
local,high,low,required,unchanged,low,high,low,0.0508,unproven,222,medium
network,high,none,required,unchanged,none,high,low,0.1069,poc,455,medium
local,high,none,none,unchanged,high,low,none,0.0739,unproven,144,medium
adjacent,low,low,required,unchanged,high,high,low,0.0394,unproven,185,high
network,high,low,none,unchanged,high,none,none,0.0212,unproven,319,medium
adjacent,low,low,none,unchanged,low,high,none,0.245,functional,11,medium
network,low,none,required,changed,low,none,high,0.1262,unproven,287,high
local,high,low,none,unchanged,high,high,low,0.2142,unproven,182,medium
adjacent,low,none,required,unchanged,high,high,high,0.0123,unproven,139,high
network,low,none,none,unchanged,low,low,high,0.0948,functional,294,high
local,low,high,none,unchanged,low,low,high,0.3042,poc,259,medium
network,low,none,none,changed,high,high,high,0.2953,high,57,critical
network,low,low,none,unchanged,high,none,none,0.1115,unproven,149,medium
network,low,none,none,unchanged,low,none,none,0.0986,high,153,medium
network,low,low,none,unchanged,low,high,high,0.0608,poc,62,high
local,high,high,none,unchanged,high,low,high,0.0841,unproven,74,medium
network,high,none,none,changed,low,low,high,0.2125,poc,127,high
network,low,high,none,unchanged,low,none,high,0.0349,unproven,308,medium
adjacent,high,none,required,unchanged,low,high,none,0.034,unproven,161,medium
network,low,none,none,unchanged,low,high,none,0.2184,poc,178,high
network,high,high,required,unchanged,low,low,high,0.0732,poc,370,medium
local,low,none,required,unchanged,high,high,high,0.0295,unproven,181,high
network,low,high,none,unchanged,none,low,none,0.136,unproven,377,low
network,high,none,none,unchanged,high,high,none,0.1628,poc,117,high
network,low,low,none,changed,high,high,high,0.0786,poc,461,critical
network,high,high,none,unchanged,low,high,none,0.2061,functional,165,medium
network,high,none,required,changed,high,high,none,0.0929,unproven,552,high
local,high,none,required,unchanged,high,low,high,0.1318,unproven,170,medium
adjacent,low,low,required,unchanged,high,low,none,0.1942,unproven,32,medium
local,low,low,none,unchanged,high,none,high,0.149,unproven,106,high
physical,high,none,none,unchanged,none,low,high,0.0693,unproven,593,medium
local,low,high,required,changed,none,low,high,0.1101,poc,205,medium
local,high,low,none,changed,high,none,none,0.0855,poc,211,medium
network,low,none,none,unchanged,high,low,none,0.1172,high,18,high
local,low,none,none,unchanged,high,none,none,0.0913,poc,597,medium
local,low,none,required,changed,none,none,low,0.041,unproven,55,low
network,high,high,required,changed,high,low,high,0.0533,poc,273,medium
local,low,low,none,unchanged,high,low,high,0.2361,poc,18,medium
network,low,none,none,unchanged,low,low,none,0.0284,unproven,805,medium
network,low,high,none,unchanged,none,none,high,0.2426,high,481,medium
network,low,none,none,unchanged,low,none,low,0.0564,poc,153,medium
adjacent,high,high,required,unchanged,none,high,low,0.1639,poc,266,medium
adjacent,low,high,none,unchanged,high,low,high,0.2299,functional,243,high
network,low,high,none,unchanged,none,high,low,0.0449,unproven,444,medium
local,high,low,none,changed,none,high,low,0.0686,unproven,77,medium
adjacent,low,none,required,unchanged,low,high,none,0.0725,poc,33,medium
local,high,low,required,unchanged,none,high,none,0.1162,poc,142,medium
network,low,low,none,unchanged,high,high,high,0.0169,functional,186,critical
local,low,low,none,unchanged,high,none,low,0.051,functional,218,medium
network,high,low,required,unchanged,high,low,none,0.0785,unproven,235,medium
adjacent,low,none,required,changed,low,high,none,0.1045,poc,165,high
network,low,low,none,unchanged,low,high,high,0.2146,functional,319,high
network,low,none,none,changed,high,low,high,0.0429,functional,243,critical
local,low,none,none,unchanged,high,low,high,0.2899,unproven,80,high
local,low,none,none,unchanged,high,low,none,0.1023,unproven,295,medium
network,low,none,required,changed,high,low,none,0.1241,unproven,78,high
local,low,none,none,unchanged,low,high,low,0.0142,unproven,88,high
local,high,high,none,changed,low,none,low,0.0161,unproven,231,low
network,low,none,required,changed,high,none,none,0.1682,poc,259,high
local,high,low,none,changed,none,none,high,0.146,functional,290,medium
network,low,high,required,unchanged,low,high,low,0.0776,functional,215,medium
network,low,low,required,unchanged,low,none,high,0.0261,functional,208,medium
local,low,none,none,unchanged,high,none,high,0.0595,poc,172,high
network,low,low,none,unchanged,none,low,high,0.1431,functional,67,high
network,high,none,required,unchanged,none,low,none,0.0605,unproven,109,low
local,high,high,required,changed,none,high,low,0.1993,poc,213,medium
adjacent,low,high,required,unchanged,high,none,none,0.1503,unproven,344,medium
local,high,none,required,unchanged,low,high,none,0.0305,unproven,169,medium
adjacent,low,low,none,unchanged,high,none,low,0.0927,poc,181,medium
network,low,none,required,unchanged,none,low,low,0.0181,high,115,medium
